Id;Label;Weight
273;Tessedik Samuel u.;150
274;Teglas u.;690
275;Teglaskerti iskola;690
276;Thokoly u. + Abonyi u.;540
277;Tiborc u.;543
278;Torocko u.;630
279;Tocoskert ter;3678
280;Tocovolgy, vasutallomas;330
281;Tor u.;320
282;Tozser u.;1177
283;Trombitas u.;785
284;Tuzoltosag;3068
285;TV-torony;295
286;Vadasz u.;690
287;Vadliba u.;1163
288;Vasutas u.;300
289;Vag u.;630
290;Vagohid u.;1636
291;Vagohid u., feluljaro + Attila ter + Wesselenyi u.;3413
292;Vamospercsi ut;171
293;Vamospercsi ut (fordulo);522
294;Varoshaza* + Kistemplom + Csokonai Szinhaz;11379
295;Vasary Istvan u.*;7296
296;Vekeri elagazas;543
297;Veres Peter u.;1255
298;Vecsey u. + Hegyi Mihalyne u.;1242
299;Vilagos u.;630
300;Vinceller u.;5870
301;Vizmu;240
302;Wekerle u.;120
303;Weszpremy u. + Andahazi (villamos);2982
304;Wolaffka u.;263
305;Zsibogo;1636
306;Zsigmond Ferenc u. + Vay adam u.;855
